grid_name,teff,tinner,number,odep,c,d,e,f,g,h,mdot,vexp,i
corundum-20-bb,2600,1200,67,6.3,64300.0,218000000000000.0,6.35,1.63,19.0,0.0,3.2e-05,10.4,1.2
corundum-20-bb,2600,1200,68,6.71,63000.0,220000000000000.0,6.42,1.64,19.0,0.0,3.36e-05,10.3,1.18
corundum-20-bb,2600,1200,69,7.14,61600.0,223000000000000.0,6.49,1.66,19.0,0.0,3.54e-05,10.2,1.16
corundum-20-bb,2600,1200,70,7.61,60700.0,224000000000000.0,6.54,1.67,19.0,0.0,3.67e-05,10.1,1.15
corundum-20-bb,2600,1200,71,8.1,59400.0,227000000000000.0,6.61,1.69,19.0,0.0,3.87e-05,10.0,1.13
corundum-20-bb,2600,1200,72,8.62,58000.0,230000000000000.0,6.69,1.71,19.0,0.0,4.08e-05,9.93,1.12
corundum-20-bb,2600,1200,73,9.18,56700.0,232000000000000.0,6.77,1.73,19.0,0.0,4.3e-05,9.83,1.1
corundum-20-bb,2600,1200,74,9.78,55300.0,235000000000000.0,6.85,1.75,19.0,0.0,4.53e-05,9.73,1.09
corundum-20-bb,2600,1200,75,10.4,54000.0,238000000000000.0,6.93,1.78,18.0,0.0,4.78e-05,9.63,1.08
corundum-20-bb,2600,1200,76,11.1,52600.0,241000000000000.0,7.02,1.8,18.0,0.0,5.05e-05,9.54,1.06
corundum-20-bb,2600,1200,77,11.8,51200.0,244000000000000.0,7.11,1.82,18.0,0.0,5.33e-05,9.45,1.05
corundum-20-bb,2600,1200,78,12.6,49900.0,248000000000000.0,7.21,1.85,18.0,0.0,5.63e-05,9.36,1.04
corundum-20-bb,2600,1200,79,13.4,48500.0,251000000000000.0,7.31,1.87,18.0,0.0,5.96e-05,9.27,1.03
corundum-20-bb,2600,1200,80,14.2,47200.0,255000000000000.0,7.41,1.9,18.0,0.0,6.3e-05,9.18,1.02
corundum-20-bb,2600,1200,81,15.2,45800.0,258000000000000.0,7.52,1.93,18.0,0.0,6.67e-05,9.1,1.01
corundum-20-bb,2600,1200,82,16.2,44500.0,262000000000000.0,7.63,1.96,18.0,0.0,7.06e-05,9.01,1.0
corundum-20-bb,2600,1200,83,17.2,43100.0,266000000000000.0,7.75,1.99,18.0,1.0,7.48e-05,8.93,0.994
corundum-20-bb,2600,1200,84,18.3,41800.0,270000000000000.0,7.88,2.02,17.0,1.0,7.93e-05,8.85,0.986
corundum-20-bb,2600,1200,85,19.5,40500.0,275000000000000.0,8.01,2.05,17.0,1.0,8.42e-05,8.77,0.978
corundum-20-bb,2600,1200,86,20.8,39100.0,280000000000000.0,8.14,2.09,17.0,1.0,8.93e-05,8.68,0.971
corundum-20-bb,2600,1200,87,22.1,38000.0,284000000000000.0,8.27,2.12,17.0,1.0,9.43e-05,8.7,0.96
corundum-20-bb,2600,1200,88,23.5,36600.0,289000000000000.0,8.41,2.16,17.0,1.0,0.0001,8.61,0.954
corundum-20-bb,2600,1200,89,25.1,35300.0,294000000000000.0,8.57,2.19,17.0,1.0,0.000107,8.53,0.948
corundum-20-bb,2600,1200,90,26.7,34000.0,300000000000000.0,8.73,2.24,17.0,1.0,0.000113,8.45,0.943
corundum-20-bb,2600,1200,91,28.4,32800.0,305000000000000.0,8.9,2.28,16.0,1.0,0.000121,8.37,0.939
corundum-20-bb,2600,1200,92,30.3,31500.0,312000000000000.0,9.07,2.32,16.0,1.0,0.000129,8.28,0.934
corundum-20-bb,2600,1200,93,32.2,30300.0,318000000000000.0,9.26,2.37,16.0,1.0,0.000137,8.2,0.931
corundum-20-bb,2600,1200,94,34.3,29000.0,325000000000000.0,9.45,2.42,16.0,1.0,0.000146,8.11,0.927
corundum-20-bb,2600,1200,95,36.5,27800.0,332000000000000.0,9.65,2.47,16.0,2.0,0.000156,8.02,0.924
corundum-20-bb,2600,1200,96,38.9,26600.0,339000000000000.0,9.87,2.53,16.0,2.0,0.000167,7.93,0.921
corundum-20-bb,2600,1200,97,41.4,25500.0,346000000000000.0,10.1,2.58,15.0,2.0,0.000179,7.84,0.918
corundum-20-bb,2600,1200,98,44.1,24400.0,354000000000000.0,10.3,2.64,15.0,2.0,0.000191,7.74,0.916
corundum-20-bb,2600,1200,99,47.0,23300.0,363000000000000.0,10.6,2.71,15.0,2.0,0.000204,7.65,0.914
corundum-20-bb,2600,1200,100,50.0,22200.0,371000000000000.0,10.8,2.77,15.0,2.0,0.000219,7.55,0.912
corundum-20-bb,2600,600,1,0.1,9790.0,559000000000000.0,16.3,4.17,16.0,0.0,2.84e-06,9.77,1.45
corundum-20-bb,2600,600,2,0.106,9680.0,562000000000000.0,16.4,4.19,16.0,0.0,3.03e-06,9.87,1.49
corundum-20-bb,2600,600,3,0.113,9590.0,565000000000000.0,16.4,4.21,16.0,0.0,3.18e-06,9.91,1.52
corundum-20-bb,2600,600,4,0.121,9510.0,567000000000000.0,16.5,4.23,16.0,0.0,3.34e-06,9.95,1.55
corundum-20-bb,2600,600,5,0.129,9410.0,570000000000000.0,16.6,4.25,16.0,0.0,3.51e-06,9.98,1.57
corundum-20-bb,2600,600,6,0.137,9320.0,573000000000000.0,16.7,4.27,16.0,0.0,3.69e-06,10.0,1.6
corundum-20-bb,2600,600,7,0.146,9220.0,576000000000000.0,16.8,4.3,16.0,0.0,3.88e-06,10.0,1.63
corundum-20-bb,2600,600,8,0.155,9120.0,579000000000000.0,16.9,4.32,16.0,0.0,4.08e-06,10.0,1.65
corundum-20-bb,2600,600,9,0.165,9020.0,582000000000000.0,17.0,4.34,16.0,0.0,4.28e-06,10.0,1.68
corundum-20-bb,2600,600,10,0.176,8920.0,586000000000000.0,17.1,4.37,16.0,0.0,4.5e-06,10.0,1.7
corundum-20-bb,2600,600,11,0.187,8810.0,589000000000000.0,17.2,4.4,16.0,0.0,4.73e-06,10.0,1.73
corundum-20-bb,2600,600,12,0.199,8700.0,593000000000000.0,17.3,4.42,16.0,0.0,4.97e-06,10.0,1.75
corundum-20-bb,2600,600,13,0.212,8590.0,597000000000000.0,17.4,4.45,16.0,0.0,5.21e-06,9.99,1.77
