 ===========================
  Output from program Dusty 
  Version: 2.0
 ===========================
  
  INPUT parameters from file:
  aringerOkmh_3000_600.inp                                              
  
* ----------------------------------------------------------------------
* NOTES:
* This is a simple version of an input file producing a minimal output.
* ----------------------------------------------------------------------
  Stellar spectrum supplied from file:
  aringerO_3000_resampled.dat                                           
  --------------------------------------------
  Abundances for supported grains:
  Sil-Ow Sil-Oc Sil-DL grf-DL amC-Hn SiC-Pg
  1.000  0.000  0.000  0.000  0.000  0.000
  KMH size distribution:
       Power q:  3.5
  Minimal size: 1.00E-02 microns
  Characteristic size: 1.00E+00 microns
  --------------------------------------------
  Dust temperature on the inner boundary: 600  K
  --------------------------------------------
  Density for radiatively driven winds from
  full dynamic calculation.
  Relative thickness: 1.000E+04
  --------------------------------------------
  Optical depths at 1.0E+01 microns
  ranging from 1.00E-01 to 5.00E+01
  100 models with logarithmic grid           
  Required accuracy: 5%
  --------------------------------------------
  
  ====================================================  
  For compliance with the point-source assumption, the
  following results should only be applied to sources 
  whose effective temperature exceeds 1500 K.
  ====================================================
          
  RESULTS:
  --------
 ###   tau0   F1(W/m2)  r1(cm)    r1/rc   theta1  Td(Y) err   Mdot      Ve       M> 
 ###     1        2        3        4        5      6    7      8        9       10 
 ======================================================================================
  77 1.18E+01 3.23E+03 9.73E+14 4.19E+02 7.26E+00   12   0  1.06E-04 5.56E+00 1.41E+00
  78 1.26E+01 3.09E+03 9.95E+14 4.29E+02 7.42E+00   12   0  1.13E-04 5.56E+00 1.40E+00
  79 1.34E+01 2.97E+03 1.02E+15 4.37E+02 7.57E+00   12   0  1.21E-04 5.49E+00 1.40E+00
  80 1.42E+01 2.85E+03 1.04E+15 4.46E+02 7.73E+00   11   0  1.29E-04 5.43E+00 1.40E+00
  81 1.52E+01 2.73E+03 1.06E+15 4.56E+02 7.90E+00   11   0  1.37E-04 5.36E+00 1.40E+00
  82 1.62E+01 2.61E+03 1.08E+15 4.66E+02 8.07E+00   11   0  1.47E-04 5.29E+00 1.39E+00
  83 1.72E+01 2.50E+03 1.11E+15 4.76E+02 8.25E+00   11   1  1.57E-04 5.22E+00 1.39E+00
  84 1.83E+01 2.39E+03 1.13E+15 4.87E+02 8.44E+00   11   1  1.68E-04 5.14E+00 1.39E+00
  85 1.95E+01 2.28E+03 1.16E+15 4.99E+02 8.64E+00   11   1  1.79E-04 5.07E+00 1.39E+00
  86 2.08E+01 2.18E+03 1.18E+15 5.10E+02 8.84E+00   11   1  1.92E-04 5.00E+00 1.39E+00
  87 2.21E+01 2.11E+03 1.21E+15 5.19E+02 8.99E+00   11   1  2.02E-04 4.92E+00 1.39E+00
  88 2.35E+01 2.01E+03 1.23E+15 5.32E+02 9.21E+00   10   1  2.16E-04 4.84E+00 1.38E+00
  89 2.51E+01 1.91E+03 1.27E+15 5.45E+02 9.44E+00   10   2  2.31E-04 4.77E+00 1.38E+00
  90 2.67E+01 1.82E+03 1.30E+15 5.59E+02 9.68E+00   10   2  2.48E-04 4.69E+00 1.38E+00
  91 2.84E+01 1.73E+03 1.33E+15 5.73E+02 9.93E+00   10   2  2.66E-04 4.61E+00 1.38E+00
  92 3.03E+01 1.64E+03 1.37E+15 5.88E+02 1.02E+01   10   2  2.85E-04 4.54E+00 1.38E+00
  93 3.22E+01 1.56E+03 1.40E+15 6.04E+02 1.05E+01   10   2  3.06E-04 4.46E+00 1.37E+00
  94 3.43E+01 1.48E+03 1.44E+15 6.20E+02 1.07E+01   10   2  3.29E-04 4.38E+00 1.37E+00
  95 3.65E+01 1.40E+03 1.48E+15 6.37E+02 1.10E+01    9   2 3.53E-04 4.31E+00 1.37E+00
  96 3.89E+01 1.33E+03 1.52E+15 6.54E+02 1.13E+01    9   2 3.80E-04 4.23E+00 1.37E+00
  97 4.14E+01 1.26E+03 1.56E+15 6.72E+02 1.16E+01    9   2 4.08E-04 4.16E+00 1.37E+00
  98 4.41E+01 1.19E+03 1.60E+15 6.91E+02 1.20E+01    9   2 4.39E-04 4.08E+00 1.37E+00
  99 4.70E+01 1.12E+03 1.65E+15 7.10E+02 1.23E+01    9   2 4.72E-04 4.01E+00 1.37E+00
 100 5.00E+01 1.06E+03 1.70E+15 7.31E+02 1.27E+01    9   2 5.08E-04 3.94E+00 1.36E+00
 ======================================================================================
   (1) Optical depth at 1.0E+01 microns
   (2) Bolometric flux at the inner radius 
   (3) Inner radius for L=1E4 Lsun
   (4) Ratio of the inner to the stellar radius
   (5) Angular size (in arcsec) when Fbol=1E-6 W/m2
   (6) Dust temperature at the outer edge (in K)
   (7) Maximum error in flux conservation (%)
   (8) Mass-loss rate (in Msun/yr)
   (9) Terminal outflow velocity (in km/s)
   (10) Upper limit of the stellar mass (in Msun)
 =================================================
  Everything is OK for all models
  Spectra are in files *.s##
 ========== THE END ==============================
