wavelength,flux,error,strip,errrms,errsys,errcal
11.7461,0.146687,0.008886,1,0.008886,0.0,0.001753
11.76563,0.145474,0.008638,1,0.008638,0.0,0.001391
11.808195,0.139414,0.008737,1,0.008737,0.0,0.001643
11.827724,0.134853,0.008405,1,0.008405,0.0,0.001265
11.87029,0.133228,0.008482,1,0.008482,0.0,0.001483
11.889819,0.136831,0.008324,1,0.008324,0.0,0.001211
11.932384,0.131338,0.015026,1,0.008678,0.006349,0.001451
11.951914,0.128888,0.014591,1,0.008242,0.006349,0.001073
11.994479,0.128177,0.008591,1,0.008591,0.0,0.001375
12.014009,0.11753,0.008174,1,0.008174,0.0,0.001024
12.056575,0.123726,0.008635,1,0.008635,0.0,0.00138
12.076103,0.116343,0.008125,1,0.008125,0.0,9.77E-4
12.11867,0.120438,0.008707,1,0.008707,0.0,0.001297
12.138198,0.11996,0.008426,1,0.008426,0.0,0.001053
12.180764,0.115945,0.009798,1,0.008753,0.001045,0.001176
12.200293,0.115304,0.00947,1,0.008426,0.001045,0.001021
12.242859,0.11654,0.009552,1,0.008862,6.9E-4,0.00122
12.262388,0.115616,0.009222,1,0.008532,6.9E-4,0.001009
12.304955,0.115075,0.00887,1,0.00887,0.0,0.001254
12.324483,0.116525,0.008675,1,0.008675,0.0,0.001043
12.367049,0.103737,0.009296,1,0.008606,6.9E-4,0.001138
12.386578,0.103797,0.009089,1,0.008399,6.9E-4,9.06E-4
12.429145,0.104273,0.008609,1,0.008609,0.0,0.001136
12.448673,0.101139,0.008359,1,0.008359,0.0,8.99E-4
12.49124,0.097541,0.008422,1,0.008422,0.0,0.00111
12.510768,0.09839,0.008165,1,0.008165,0.0,8.91E-4
12.553335,0.098436,0.008508,1,0.008508,0.0,0.001103
12.572864,0.103303,0.008275,1,0.008275,0.0,9.35E-4
12.61543,0.102093,0.008459,1,0.008459,0.0,0.001146
12.634958,0.097313,0.008195,1,0.008195,0.0,8.8E-4
12.677526,0.098705,0.008475,1,0.008475,0.0,0.001148
12.697054,0.095733,0.008154,1,0.008154,0.0,8.35E-4
12.739621,0.098787,0.008507,1,0.008507,0.0,0.001075
12.75915,0.102592,0.008341,1,0.008341,0.0,8.68E-4
12.801716,0.099804,0.008528,1,0.008528,0.0,0.001037
12.821245,0.100261,0.008396,1,0.008396,0.0,8.41E-4
12.863811,0.094259,0.009956,1,0.008503,0.001453,9.79E-4
12.88334,0.094498,0.009808,1,0.008354,0.001453,7.72E-4
12.925907,0.095018,0.010225,1,0.008772,0.001453,9.81E-4
12.945436,0.092039,0.009858,1,0.008405,0.001453,7.46E-4
12.988003,0.093096,0.013168,1,0.008896,0.004272,9.62E-4
13.007531,0.092708,0.012681,1,0.008409,0.004272,7.22E-4
13.050098,0.095346,0.013373,1,0.009101,0.004272,9.74E-4
13.069627,0.097282,0.013069,1,0.008797,0.004272,7.42E-4
13.112194,0.089291,0.012109,1,0.00914,0.002968,9.22E-4
13.131722,0.087964,0.011736,1,0.008768,0.002968,7.18E-4
13.17429,0.089662,0.012319,1,0.00935,0.002968,9.38E-4
13.193818,0.090119,0.011749,1,0.008781,0.002968,7.68E-4
13.236385,0.092598,0.009498,1,0.009498,0.0,9.9E-4
